Sent1,Sent2,SimScore
प्रोफेसर ने खा लिया।,The professor ate the fruit .,0.66
एक व्यक्ति भून रहा है।,A person is peeling a potato.,0.24
"छात्र ने कलाकार से संपर्क किया, या प्रोफेसरों ने न्यायाधीश का परिचय दिया।",The professors introduced the judge .,0.5
दो अधिकारियों ने शुरू में कहा था कि 21 राज्यों में 61 दुकानों पर लगभग 300 श्रमिकों को गिरफ्तार किया गया था।,But the officials later revised the numbers and said about 250 had been arrested at some 60 stores.,0.48
संदिग्ध अमेरिकी ड्रोन ने पाकिस्तान में तीन आतंकवादियों को मार गिराया,U.S. drone kills 4 militants in Pakistan,0.6799999999999999
पर्यटकों ने अध्यक्ष और प्राध्यापकों का उत्साहवर्धन किया।,The professors encouraged the president .,0.29
ईरान को उम्मीद है कि परमाणु वार्ता से सामने आएगा 'रोडमैप',Iran Nuclear Talks in Geneva Spur High Hopes,0.8800000000000001
श्री लेविन ने पुष्टि की कि सुश्री कोहेन एलोन ने विश्व कप के दौरान कहानी को बेचने की कोशिश की थी।,"Ms Cohen Alon's lawyer, Donald Levine, confirmed she tried to sell the story in February.",0.6876
सोवियत संघ के पतन के बाद 1999 में संधि में संशोधन किया गया था।,the treaty was amended in 1999 to reflect changes since the soviet breakup.,0.8
वकील ने जज का शुक्रिया अदा किया।,The scientist hoped that the lawyer thanked the judge .,0.43
सचिवों ने छात्रों पर विश्वास किया।,The secretaries next to the athlete believed the students .,0.79
उनकी स्थिति यह है कि यह मान लेना व्यक्ति का जोखिम है।,His position is the way it is currently.,0.2
एथलीट ने सचिवों का उल्लेख किया।,The professor by the athlete mentioned the secretaries .,0.26
बेशक वैज्ञानिकों ने प्रबंधकों को रोक दिया।,The scientists stopped the managers .,0.88
राष्ट्रपति ने प्रोफेसर को मान्यता दी।,The actor that admired the president recognized the professor .,0.31
जजों ने इंतजार किया।,The lawyer knew that the judges waited .,0.55
सचिवों ने कलाकारों का आभार जताया।,"The secretaries thanked the artists , and the senator encouraged the manager .",0.62
एक बड़ा सफेद और भूरे रंग का कुत्ता एक पीले रंग की सुरंग के माध्यम से एक बाधा मार्ग में चलता है।,A white and black dog is running out of a yellow and orange tube.,0.72
बस दुर्घटना में 43 की मौत,15 killed in crash in India,0.32
"जिन लोगों ने मेडिकल कार्ड से इनकार किया, उन्होंने एचएसई से संपर्क करने का आग्रह किया",HSE boss defends medical-card plan,0.24
मैनेजर ने सचिवों को देखा।,The secretaries saw the manager .,0.29
कलाकार ने अभिनेता को पहचान लिया।,The bankers remembered that the artist recognized the actor .,0.55
सचिवों ने कलाकारों को रोका तो जज ने प्रदर्शन किया।,The judge performed .,0.42
अमेरिका में मैराथन बम विस्फोट में तीन की मौत,Taliban denies involvement in Boston marathon bombing,0.24
बेलफ़ास्ट में पुलिस के साथ संक्षिप्त झड़प,Mourners clash with police in Tunisia,0.24
सीढ़ियों से नीचे उतरता एक आदमी।,A man walks down a staircase.,1.0
छात्र ने डॉक्टर को दिखाया।,The doctor saw the student .,0.29
"1 अक्टूबर के बाद सूची में शामिल नंबरों पर कॉल करने वाले टेलीमार्केटर्स को प्रति कॉल $11,000 तक के जुर्माने का सामना करना पड़ सकता है।","Under the law, telemarketers who call numbers on the list can be fined up to $11,000 for each violation.",0.72
वैज्ञानिकों ने पुरस्कार जीता।,The scientists won .,0.66
श्री हॉवर्ड ने कहा कि उन्हें उस प्रणाली में भी विश्वास था जिसके तहत हिक्स पर मुकदमा चलाया जा सकता था।,"Mr Howard also said yesterday that Hicks would be fairly treated, saying he had faith in the US justice system.",0.9
घास पर बैठा एक आदमी आकाश की ओर देख रहा है।,The train is riding on the tracks in the snow.,0.0
एक आदमी प्याज काट रहा है।,A woman is cutting an onion.,0.5
"वैज्ञानिक ने कलाकार को प्रोत्साहित किया, और लेखकों ने न्यायाधीश से परहेज किया।",The authors avoided the judge .,0.62
शेरिल क्रो का कहना है कि सौम्य ब्रेन ट्यूमर है,Sheryl Crow Has a Benign Brain Tumor,0.92
एक महिला पत्र लिख रही है।,A woman is sitting at a desk.,0.3334
"डॉक्टरों ने न्यायाधीशों को सलाह दी, या अभिनेता ने इस्तीफा दे दिया।",The doctors advised the judges .,0.5
"सीनेटर ने वैज्ञानिकों को धन्यवाद दिया, या प्रोफेसर चिल्लाए।",The professors shouted .,0.5
"""चक्रवात मौजूद नहीं है"" - ठीक है।","""Goblins don't exist"" - fine.",0.32
एक आदमी और औरत एक डिनर में बात करते हैं।,A man and a woman are riding on a bicycle.,0.24
कोई जानवर की सफाई कर रहा है।,A woman is cleaning a shrimp.,0.5599999999999999
अमेरिका में 4.1 तीव्रता का भूकंप,7.2 magnitude earthquake strikes Philippines,0.2
एक महिला आम काट रही है।,A man is putting cheese on a tortilla.,0.12
इजरायली सेना ने वेस्ट बैंक में 5 फिलिस्तीनियों को हिरासत में लिया,Israeli Forces Arrest Five Palestinians across West Bank,0.96
अभिनेताओं और वकीलों ने एथलीटों का परिचय दिया।,The actors introduced the lawyers .,0.29
डॉक्टर के छुपने से पहले ही पर्यटक भाग गया।,The doctor hid the tourist .,0.23
वैज्ञानिकों ने खिलाड़ियों का परिचय कराया।,The scientists near the manager introduced the athletes .,0.79
"यदि प्रबंधक ने नृत्य किया, तो न्यायाधीशों ने सीनेटरों की मदद की।",The judges helped the senators .,0.42
एथलीटों ने इस्तीफा दे दिया।,Definitely the athletes resigned .,0.88
IDF मध्य इज़राइल में आयरन डोम तैनात करेगा,Major snowstorm barrels down on Central Plains,0.0
डॉक्टर द्वारा अभिनेताओं ने कलाकार से परहेज किया।,The doctor avoided the artist .,0.26
वकील ने बैंकरों की बात सुनी।,The lawyer heard the bankers slept .,0.37
जज के बगल में मैनेजर पहुंचे।,The judge arrived .,0.26
काहिरा संघर्ष में मुस्लिम ब्रदरहुड समर्थक की मौत,Muslim Brotherhood supporters die in Egypt clashes,0.72
पर्यटकों के बगल में बैंकर ने राष्ट्रपति की प्रशंसा की।,The tourists admired the banker .,0.29
सीनेटरों द्वारा डॉक्टर की प्रशंसा की गई।,The doctor admired the senators .,0.3
न्यायाधीशों को डॉक्टर द्वारा विश्वास किया गया था।,The doctor believed the judges .,1.0
न्यायाधीशों ने माना कि एथलीट ने कलाकार को प्रोत्साहित किया।,The athlete encouraged the artist .,0.43
पर्यटकों ने राष्ट्रपतियों को पहचान लिया।,The presidents recognized the tourists .,0.29
एक महिला प्याज काट रही है।,A man is cutting and onion.,0.64
अमेरिकी सीनेट ने फेड की अगली अध्यक्ष के रूप में येलेन की पुष्टि की,US Senate Confirms Janet Yellen as New Central Bank Chief,0.8400000000000001
प्रबंधकों ने लेखकों के सामने एथलीटों से संपर्क किया।,The managers contacted the athletes .,0.79
छात्रों ने एथलीट को सलाह दी।,The students who advised the athlete believed the doctors .,0.65
ट्रेवॉन के चरित्र के बारे में दावा और मैंने ऐसा कब किया?,slanted blogs And when did I do that?,0.52
लाइव ब्लॉग: यूक्रेन संकट में,Live Blog: Iraq In Turmoil,0.0
जजों को उम्मीद थी कि प्रोफेसर सीनेटर को देख लेंगे।,The professors saw the senator .,0.43
छात्र के सामने सचिव ने डॉक्टरों की सिफारिश की।,The secretary recommended the doctors .,0.79
एक भाप इंजन और ट्रेन कैमरे की ओर बढ़ रही है।,A large bird of prey flying towards the camera.,0.16
कतर के अमीर ने सत्ता अपने बेटे को सौंपी,Qatari emir hands power to son Tamim,0.8
वकील ने डॉक्टर पर विश्वास किया।,The athlete in front of the lawyer believed the doctor .,0.26
"फिओरिना ने कहा, ""मुझे यह कहते हुए आत्मविश्वास महसूस हो रहा है कि एचपी अब एकीकरण की कहानी नहीं है।""","""We still have a lot to do, but I feel confident that HP is no longer an integration story.""",0.6799999999999999
कलाकारों ने एथलीटों पर विश्वास किया।,The artists were believed by the athletes .,0.3
राष्ट्रपतियों द्वारा अभिनेता का उल्लेख किया गया था।,The presidents mentioned the actor .,1.0
रूस तुरंत रूसी सीमाओं के साथ सैन्य शक्ति में वृद्धि नहीं करेगा।,russia would not hesitate to increase military strength along russian borders if the need arises.,0.4
डॉक्टर ने वकीलों के पास एथलीट से संपर्क किया।,The doctor contacted the athlete .,0.79
गंभीर लेखकों ने एथलीट की मदद की।,Authors helped the athlete .,0.78
कई लोग रात में आग के आसपास बैठे हैं।,A group of people are standing and sitting around on the ground at night.,0.52
संघीय न्यायाधीश विलियम बारबोर ने मंगलवार को कहा कि उन्होंने अधिकतम सजा इसलिए दी क्योंकि अवंत्स ने क्रूर हत्या में कोई पछतावा नहीं दिखाया।,U.S. District Judge William Barbour said he imposed the maximum because Avants showed no remorse.,0.72
काला और सफेद कुत्ता घास के बीच से दौड़ता है।,A black and white dog is running through grass.,1.0
एक महिला नाच रही है।,A woman is slicing ginger.,0.05
ब्लैक बिकनी टॉप और जींस में एक महिला।,A woman in a black hat is standing by the subway.,0.2
खुश प्रोफेसरों ने न्यायाधीशों से संपर्क किया।,Professors contacted the judges .,0.78
छात्र ने कलाकारों की मदद की।,The student was helped by the artists .,0.3
भूरे और सफेद कुत्तों की दो अलग-अलग नस्लें समुद्र तट पर खेलती हैं।,Two dogs playing in the sand at the beach.,0.8
निस्संदेह कलाकार ने प्रतीक्षा की।,The artist waited .,0.88
इजरायल के पेरेज ने शांति वार्ता पर लौटने का आग्रह किया,Israel's Peres calls for return to peace talks,1.0
चरमपंथियों ने ली नाइजर हमलों की ज़िम्मेदारी,Greek militant group claims responsibility for Golden Dawn killings,0.2799999999999999
"उद्यम रूस और यूक्रेन में पांच तेल रिफाइनरियों और 2,100 से अधिक फिलिंग स्टेशनों का मालिक है।","TNK-BP has six oil producing units, five refineries and 2,100 filling stations.",0.6
एक प्रमुख यूरोपीय हथियार नियंत्रण संधि को बनाए रखा जाना चाहिए।,the cfe treaty is a key european arms control treaty.,0.44
एक जोड़ा चल रहा है।,Some men are sawing.,0.0
वकील ने प्रोफेसर को रोका।,The professor was stopped by the lawyer .,1.0
कलाकारों के पीछे सीनेटरों ने वैज्ञानिक से संपर्क किया।,The senators contacted the scientist .,0.79
लोगों का एक समूह खिड़की के पास खड़ा होकर कुछ देख रहा है।,A group of people stand and wait to see something.,0.6799999999999999
जाहिर है अभिनेता ने प्रदर्शन किया।,The actor performed .,0.88
वकीलों ने बैंकर को रोका।,After the lawyers stopped the banker mentioned the athletes .,0.23
मलिक में दो फ्रांसीसी पत्रकारों की हत्या,France confirms two French journalists killed in Mali,1.0
"यदि एथलीटों ने प्रबंधक को पहचान लिया, तो डॉक्टरों ने सीनेटरों से संपर्क किया।",The athletes recognized the manager .,0.45
घास के मैदान में खड़ी एक काली और सफेद गाय।,A black and white horned cow standing in a field.,0.8
जब सीनेटरों ने छुपाया तो अभिनेता ने लेखक को पहचान लिया।,The senators hid the actor .,0.23
वैज्ञानिकों का मानना ​​था कि प्रबंधकों ने अभिनेता को देखा था।,The managers saw the actor .,0.31
पर्यटकों ने स्कूल में मदद की।,The secretaries mentioned the tourists helped in the school .,0.59
एक काले और सफेद सींग वाली गाय एक खेत में खड़ी है।,a black and white cow standing in the field.,0.8400000000000001
घास में परस्पर क्रिया करते दो पक्षी,Two dogs play with each other outdoors.,0.04
भारत में बलात्कार विरोधी प्रदर्शनों में घायल अधिकारी की मौत,Indian policeman injured in gang-rape protest dies,0.8400000000000001
छात्र ने प्रबंधक की प्रशंसा की।,The student was admired by the manager .,0.3
खेत में खड़ी सींग वाली भूरी गाय।,Brown horse standing in middle of grassy field.,0.36
एक आदमी घोड़े की सवारी कर रहा है और बाधाओं पर कूद रहा है।,A man is kicking a soccer ball.,0.0666
ज़ाहेदान दक्षिणपूर्वी में एक शहर है,bam is a city in southeastern,0.36
कलाकार ने उस वैज्ञानिक की मदद की जिसने अभिनेताओं को पहचाना।,The scientist recognized the actors .,0.65
ट्रेन के सामने फोटो खिंचवाता शख्स।,A man stands on a platform in front of a silver train.,0.6799999999999999
न्यायाधीशों ने सचिवों को धन्यवाद दिया।,Important judges thanked the secretaries .,0.78
एक मोटरसाइकिल सवार अपनी मोटरसाइकिल से टकरा गया।,A person crashes on a motorcycle.,0.8400000000000001
एक आदमी बांसुरी बजा रहा है।,A man is playing a piano.,0.32
रेगिस्तान में एक विस्फोट फलफूल रहा है।,A nuclear weapon explodes in a desert.,0.6799999999999999
ऑपरेशन कैओस सिर्फ लोगों को वोट देना है।,Chaos is merely people voting.,0.8
गुलाबी पोशाक में एक लड़की सफेद पिकेट की बाड़ के साथ अपनी बाइक चलाती है।,A girl in a red dress rides her bike in front of a white fence.,0.8
कलाकारों ने नृत्य किया।,"Unless the doctor admired the lawyer , the artists danced .",0.42
मैनेजर ने डॉक्टरों और प्रोफेसरों का उल्लेख किया।,The professors mentioned the doctors .,0.29
"व्हाट द पेपर्स से, मार्च 12, 2013","What the Papers Say, June 25, 2013",0.36
अध्यक्षों ने सचिव को रोक दिया।,The presidents who stopped the secretary mentioned the manager .,0.65
मिस्र में नए संविधान में मतदान,Egyptians Vote On New Constitution,0.96
ज़िम्मरमैन का कहना है कि उनकी कार ने उन्हें बुरी तरह पीटा था।,"His ""friends"" say that he was confronted by his car.",0.48
सचिवों ने अभिनेता का उल्लेख किया।,Of course the secretaries mentioned the actor .,0.88
पर्यटकों ने बैंकरों से परहेज किया जिन्होंने कलाकार को धन्यवाद दिया।,The bankers avoided the the artist .,0.29
एक काली ट्रेन पटरियों के नीचे चलती है।,Black train idle on the tracks.,0.44
अभिनेता सो गए।,The author and the actors slept .,0.73
अध्यक्ष ने छात्रों को रोका।,Famous presidents stopped the students .,0.78
जज ने वकीलों का हौसला बढ़ाया।,The judge and the manager encouraged the lawyers .,0.68
सोते हुए प्रोफेसर ने सीनेटर पर विश्वास किया।,The professor believed the senator .,0.79
एक बच्चा गिटार बजा रहा है।,A man is playing a guitar.,0.44
एक आदमी गिटार बजाता है।,A man is playing the guitar.,1.0
एक महिला पानी के टब में फिसल रही है।,A woman is lying in a raft.,0.16
एक कंबल पर लेटी एक काली और सफेद बिल्ली।,A black and white cat sleeps on a purple blanket.,0.8
मुर्सी समर्थक प्रदर्शनों से पहले मिस्र ने बढ़ाई सुरक्षा,Egypt bracing for massive protests,0.6
"पर्यटक पहुंचे, या सचिवों ने जज को टाल दिया।",The tourist arrived .,0.5
"उत्तर कोरिया ने दक्षिण में विदेशियों को दी चेतावनी, खाली करने की सलाह",North Korea warns foreigners in South to evacuate,1.0
अध्यक्ष ने छात्रों की सराहना की।,The president admired the students that the judges introduced .,0.77
"वैज्ञानिक ने वकील की मदद की या नहीं, सीनेटरों ने सचिवों का उल्लेख किया।",The senators mentioned the secretaries .,0.78
प्रोफेसरों ने कलाकार का उल्लेख किया।,"In case the managers slept , the professors mentioned the artist .",0.78
माना जाता है कि छात्रों ने सीनेटर को पहचान लिया।,The students recognized the senator .,0.53
"जबकि प्रबंधकों ने लड़ाई की, अध्यक्षों ने नृत्य किया।",The managers fought the presidents .,0.23
एक आदमी दरवाजा खोल रहा है।,A man is playing a guitar.,0.16
"कोरल के अनुसार, परिवर्तनीय प्रतिभूतियों सहित कुल मूल्य लगभग $ 124 मिलियन होगा।","Including convertible securities, the total estimated value of the deal is $124 million, according to Corel.",1.0
प्रबंधक ने प्रदर्शन किया।,The secretary and the manager performed .,0.73
एक आदमी फोन पर बात कर रहा है।,A panda bear is chewing on a stick.,0.0
न्यायाधीश ने राष्ट्रपतियों को मान्यता दी।,"If the doctor performed , the judge recognized the presidents .",0.42
सफेद कमीज पहने एक छोटा लड़का घास के मैदान में खेल रहा है।,A woman is getting her hair done at a salon.,0.0
सीनेटर का मानना ​​था कि लेखक ने इस्तीफा दे दिया है।,The senator believed the author .,0.37
अभिनेता का मानना ​​था कि सचिव इंतजार कर रहे थे।,The actor believed the secretaries .,0.37
इस्राइल ने फ़िलिस्तीनी क़ैदियों को रिहा किया,Israel releases 26 Palestinian prisoners,0.92
"यदि प्रोफेसरों ने बैंकर की मदद की, तो राष्ट्रपति ने प्रदर्शन किया।",The professors helped the banker .,0.45
वह आदमी एक चट्टानी पहाड़ की चोटी पर बैठा है।,A person sticks their head out of a tent at the top of a mountain.,0.48
दो आदमी कुछ इलेक्ट्रॉनिक उपकरण लगा रहे हैं,Two dogs are wrestling on the ground in the snow.,0.0
सीनेटरों ने डॉक्टरों की मदद की।,"If the student called the actors , the senators helped the doctors .",0.42
रिम्शा मसीह रेलेअसेद ों बैल,Mandela released from hospital,0.0
प्रबंधकों ने पर्यटकों की मदद की।,The managers helped the tourists next to the students .,0.79
वकील ने डॉक्टरों से संपर्क किया।,The doctors were contacted by the lawyer .,1.0
संयुक्त राष्ट्र सीरियाई 'नरसंहार' के स्थल तक पहुँचने के लिए अभी तक निगरानी करता है - वीडियो,UN monitors shot at on way to Syrian massacre site,0.48
लेखक ने कलाकारों का परिचय कराया।,The artists that believed the author introduced the president .,0.29
मैनेजर ने एक्टर्स को रोका।,"After the manager stopped the actors , the lawyer arrived .",0.61
प्रबंधक को रोकने वाले छात्र ने लेखक का परिचय दिया।,The manager introduced the author .,0.31
प्रोफेसरों ने सचिवों से परहेज किया।,The professors were avoided by the secretaries .,0.3
निश्चित रूप से बैंकर ने सचिव को देखा।,The banker saw the secretary .,0.88
राष्ट्रपतियों ने वकीलों से संपर्क किया।,The presidents contacted the bankers and the lawyers .,0.68
हम सभी कई अजूबों से भरे बर्तन हैं।,Put a Little Love in your Heart We are all vessels filled with many wonders.,0.72
एक स्केटबोर्ड पर एक आदमी के बगल में एक भूरा और सफेद कुत्ता चल रहा है।,A blond child is laying on a branch of a tree in a green field.,0.0
स्पष्ट रूप से प्रोफेसर सो गया।,The professor slept .,0.88
लेखक के पीछे के प्रबंधक ने कलाकार को धन्यवाद दिया।,The artist thanked the manager .,0.29
एक भूरा कुत्ता गंदगी पर एक गंदी टेनिस गेंद का पीछा करते हुए कुत्तों की एक पंक्ति के बीच में है।,There are two white dogs and one brown dog chasing a ball.,0.5599999999999999
वैज्ञानिकों ने अभिनेताओं को बुलाया।,"If the presidents introduced the student , the scientists called the actors .",0.42
अचानक सचिवों ने अध्यक्षों का परिचय कराया।,The secretaries introduced the presidents .,0.88
बाहर दो काले और सफेद कुत्ते एक साथ खेल रहे हैं।,Two children and a black dog are playing out in the snow.,0.2
महिला ने सॉस में पनीर डाला।,A man pours a plate of shredded cheese into a pot of sauce.,0.32
मुगाबे विवादित चुनावों के विजेता घोषित,Zimbabwe: Mugabe declared winner in disputed vote,0.8
"वैज्ञानिक आया, और बैंकर सो गया।",The scientist arrived .,0.62
कार्यालय में प्रस्तुति देते खिलाड़ी।,The athletes presented in the office believed the student .,0.59
एक आदमी मगरमच्छ को मुंह पर थपथपा रहा है।,A person is dumping chopped vegetables into a pot on the stove.,0.0
जाहिर है डॉक्टर राष्ट्रपतियों पर विश्वास करते थे।,The doctor believed the presidents .,0.88
"बैंकर ने न्यायाधीश को टाल दिया, और लेखक भाग गया।",The author ran .,0.62
फ्रांसिस ने प्रार्थना के साथ पोप पद की शुरुआत की,Pope Francis Slips Out of Vatican for Prayers,0.72
मिस्र की कार्रवाई निंदा को दर्शाती है,Egypt: Egypt crackdown sparks global outrage,0.92
"डब्ल्यूएचओ की प्रवक्ता मारिया चेंग ने सहमति व्यक्त करते हुए कहा: ""यह एक अलग घटना की तरह लग रहा है।""","""It looks very much like an isolated event,"" World Health Organization spokeswoman Maria Cheng said.",0.92
लेखकों ने एथलीट से संपर्क किया।,The student who the athlete recognized contacted the authors .,0.29
सचिव ने सीनेटरों से परहेज किया।,The secretary avoided the senators .,1.0
सचिवों ने प्रोफेसरों के बगल में लेखकों को रोक दिया।,The professors stopped the secretaries .,0.29
उत्तरी यमन में शिया अल-हौथी लड़ाकों द्वारा 7 की हत्या,At least 5 killed in sectarian conflict in north Yemen,0.6
प्रोफेसरों ने लेखक को सलाह दी।,Famous professors advised the author .,0.78
"अगर सीनेटर ने डॉक्टर को धन्यवाद दिया, तो प्रबंधक ने नृत्य किया।",The senator thanked the doctor .,0.45
एक आदमी सांप के पास चूहे को लटका रहा है।,A man is feeding a mice to a snake.,0.64
"""बायोटेक उत्पाद, अगर कुछ भी हो, तो सभी परीक्षणों के कारण पारंपरिक उत्पादों की तुलना में अधिक सुरक्षित हो सकते हैं,"" फ्रेली ने कहा, 18 देशों ने जैव प्रौद्योगिकी को अपनाया है।","""Biotech products, if anything, may be safer than conventional products because of all the testing,"" said Robert Fraley, Monsanto's executive vice president.",0.64
"स्क्रिब्नर का शव शहर के पोर्टेज बे में तैरता हुआ मिला, जहां वह अपनी पत्नी के साथ हाउसबोट में रहता था।","A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment.",0.64
एक आदमी तुरही बजाता है।,A man is playing a musical instrument.,0.6799999999999999
"कोलंबिया दुर्घटना जांच बोर्ड के एक सदस्य हबर्ड ने कहा, ""यह हमें यह कहने के बहुत करीब ले जाता है कि फोम इस तरह का नुकसान कर सकता है।""","""I think this moves us a lot closer toward saying that foam can do this kind of damage,"" Hubbard said.",0.72
छात्रा ने डांस किया।,"Unless the student danced , the managers helped the senators .",0.45
मिस्र में मुस्लिम ब्रदरहुड पर प्रतिबंध,Military holds upper hand in Egypt,0.24
प्राग में विस्फोट में फिलीस्तीनी राजनयिक घायल,Palestinian ambassador injured in apartment blast,0.8
"मॉरिस ने कहा कि उस ट्रक को कैंपबेल क्रीक क्षेत्र में देखा गया था, जो उस विवरण को फिट करता है।","A black pickup truck was also seen in the Campbells Creek area, Morris said.",0.6
"हालांकि मोटापा स्वास्थ्य समस्याओं के जोखिम को बढ़ा सकता है, संदेहियों का तर्क है, इसलिए धूम्रपान और उच्च कोलेस्ट्रॉल करें।","Although obesity can increase the risk of a host of health problems, skeptics argue, so do smoking and high cholesterol, which are not considered diseases.",0.85
क्योंकि जज ने भुगतान किया तो कलाकार आ गया।,The judge paid the artist .,0.23
सीनेटर ने डॉक्टरों को भुगतान किया।,The senator paid .,0.66
"डॉव जोन्स इंडस्ट्रियल एवरेज। डीजेआई 58.69 अंक या 0.64 प्रतिशत की गिरावट के साथ 9,137.86 पर था।","The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.",0.5
न्यायाधीश द्वारा डॉक्टरों की सिफारिश की गई थी।,The doctors recommended the judge .,0.3
"मई 2002 की शुरुआत में फिलीपींस, मलेशिया और इंडोनेशिया के अधिकारियों ने एयरलाइन यात्री सूची और अन्य खुफिया जानकारी साझा करने के लिए एक आतंकवाद विरोधी समझौते पर हस्ताक्षर किए।","in early may 2002 the philippines, malaysia and indonesia signed an agreement to share terrorism intelligence.",0.72
सचिव ने पर्यटक को सलाह दी।,The tourist advised the secretary .,0.29
"""एनरॉन कंपनी के अधिकारी व्यापक और व्यापक धोखाधड़ी में लिप्त हैं,"" अभियोजक सैमुअल बुएल ने एसोसिएटेड प्रेस को बताया।","""Enron company executives engaged in widespread and pervasive fraud to manipulate the company's earnings results,"" Buell said.",0.75
राष्ट्रपति का वोट मिस्रवासियों का ध्रुवीकरण करता है,GOP presidential hopefuls clash in Southern races,0.16
नया शीत युद्ध,A new Cold War?,0.96
फ्रेंच ओपन के फाइनल में पहुंचे नडाल,Nadal through to seventh French Open final,0.8
पृष्ठभूमि में पेड़ों के साथ नदी का एक समूह।,A group of cows in a field with yellow tags in their ears.,0.04
राष्ट्रपति चिल्लाया।,"The actor encouraged the author , and the president shouted .",0.62
एक ग्रे और सफेद धारीदार बिल्ली बैंगनी कपड़े पर सो रही है।,Black and white cat sleeping on a brown tarp.,0.48
माली में 116 लोगों को ले जा रहे एयर अल्जीरी विमान का मलबा मिला,Wreckage from AirAlgerie flight AH5017 found in Mali,0.6799999999999999
पुलिस ने पेपर स्प्रे का इस्तेमाल करते हुए कानून प्रवर्तन खुफिया इकाई के एक वार्षिक प्रशिक्षण संगोष्ठी का विरोध कर रहे लगभग 400 कार्यकर्ताओं द्वारा सोमवार रात एक मार्च और रैली में 12 लोगों को गिरफ्तार किया।,Police used pepper spray and rubber bullets to disperse a downtown march and rally last night by activists protesting an annual police intelligence-training seminar.,0.72
जज चिल्लाया।,"The senators recognized the lawyer , or the judge shouted .",0.5
"हालांकि कलाकार ने नृत्य किया, अभिनेता ने डॉक्टरों को प्रोत्साहित किया।",The artist danced .,0.61
शायद डॉक्टर ने लेखक का समर्थन किया।,The doctor supported the author .,0.53
सीनेटरों ने डॉक्टर की सिफारिश की।,The doctor was recommended by the senators .,1.0
चीन बंदरगाह सौदे पर ओबामा ने टर्नबुल से सवाल किए,Spanish bulls gore seven to death,0.0
मैनेजर ने सैंडविच खाया।,The manager ate .,0.66
एक बेजर गंदगी में खुदाई कर रहा है।,A man is moving large rocks.,0.0
एक महिला पानी के नीचे तैरती है।,A woman is swimming.,0.76
बिना किसी शक के एथलीट चिल्लाए।,The athletes shouted .,0.88
नारंगी रंग की बनियान पहने एक आदमी नीले पानी में नाव चला रहा है।,A man in an orange jacket raising his hands to the sky in the sand.,0.36
वैज्ञानिकों ने राष्ट्रपति और न्यायाधीश पर विश्वास किया।,The scientists believed the judge .,0.68
रक्षा के लिए अंतरिक्ष कार्यक्रमों के उपयोग की अनुमति देने वाले नए कानून का प्रस्ताव करने वाले विधेयक को पिछले सप्ताह जापान सरकार के निचले सदन ने पहले ही मंजूरी दे दी थी।,the bill for the new law was already approved by the japanese government's lower house last week.,0.6799999999999999
अभिनेता ने राष्ट्रपति को भुगतान किया।,When the actor paid the president supported the doctor .,0.23
लेखक और एथलीटों ने छात्रों का उल्लेख किया।,The author mentioned the students .,0.68
कानूनी निर्णय तीन दिनों की गहन अटकलों के बाद हैवलेट-पैकर्ड कंपनी कंपनी के लिए बोली लगा सकती है।,The legal ruling follows three days of wild volatility in RIM's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company.,0.72
एक आदमी कुछ आकृतियाँ बना रहा है।,A man is drawing on a digital dry erase board.,0.6666000000000001
रूस ने कहा कि यह प्रणाली रूसी सुरक्षा के लिए एक स्पष्ट खतरा है।,it is a serious threat to international security.,0.36
ईरानी राष्ट्रपति ने नई परमाणु वार्ता का आह्वान किया,Iranian minister blames West for failed nuke talks,0.4
इज़राइल ने जर्मन लेखक ग्रास को कविता पर जाने से रोक दिया,Israel bars German author Grass over poem,0.8800000000000001
मिस न्यूयॉर्क ने जीता मिस अमेरिका का ताज,Miss New York is crowned Miss America,1.0
शायद डॉक्टरों ने बैंकर से संपर्क किया।,The doctors contacted the banker .,0.53
एक आदमी गिटार बजा रहा है।,A woman is playing a flute.,0.36
सचिव ने कलाकारों का परिचय दिया।,The tourist mentioned the secretary who introduced the artists .,0.65
यह कोई उत्तर नहीं है।,"no, it's not an answer.",0.96
चीनी अधिकारी तुरंत टिप्पणी के लिए उपलब्ध नहीं थे।,godzhayev and godzhayev's lawyers were not immediately available to comment.,0.2
प्रतियोगिता आयोग द्वारा प्रस्तावित 4.1 बिलियन पाउंड के विलय पर सरकार को अपना अंतिम फैसला सुनाए जाने के एक दिन बाद कल उत्सव की शुरुआत हुई।,"The Competition Commission delivered its verdict yesterday on the proposed merger of the two big ITV players, Carlton and Granada.",0.5636
प्रोफेसर ने पर्यटकों पर विश्वास किया।,The professor believed the tourists resigned .,0.37
लेखकों ने प्रदर्शन किया।,"The authors performed , or the bankers avoided the senators .",0.5
चीन में दो यातायात दुर्घटनाओं में 47 लोगों की मौत,3 traffic accidents leave 56 dead in China,0.48
