,Sent1,Sent2,SimScore
2568,88 percent of the liberal democratic party supports economic sanctions. ,80 percent of the opposition democratic party supports economic sanctions.,0.76
2569,A woman with a knife is slicing a pepper.,A women slicing green pepper.,0.8
2570,The author helped the athlete and the secretaries .,The secretaries helped the athlete .,0.29
2571,Two black dogs playing in the snow.,A black dog digs in the snow.,0.6799999999999999
2572,Costa Concordia captain to be tried for manslaughter,Costa Concordia survivors detail experience one year later,0.24
2573,Obviously the senators supported the actors .,The senators supported the actors .,0.88
2574,The scientist introduced the secretary .,The actor remembered that the scientist introduced the secretary .,0.55
2575,The scientists who performed advised the athlete .,The scientists advised the athlete .,0.79
2576,a group of teenagers are jumping in the air on the beach.,A group of young people jump up in the air while on the beach.,0.96
2577,A yellow parrot clings to the side of its cage.,A yellow and orange bird hold on to the side of a cage.,0.6799999999999999
2578,Hopefully the author recommended the artist .,The author recommended the artist .,0.53
2579,The commission estimates California lost $1.34 billion -- the most of any state -- to tax shelters in 2001.,The commission estimated California lost $937 million to corporate tax shelters in 2001.,0.55
2580,"Several dead, 550 injured in Argentina train crash",49 feared dead in Buenos Aires train crash,0.27999999999999997
2581,"Obama moves to fill Fed board, taps Fischer to be No. 2",Obama voices willingness to talk with GOP on budget,0.08
2582,Obama meets with Mandela family,Obama meets Zuma and pays tribute to Mandela,0.6
2583,The bankers avoided the presidents .,The presidents avoided the students behind the bankers .,0.29
2584,Boston bombing suspect buried in Virginia,Boston bomb suspect buried in Virginia cemetery,1.0
2585,The actors performed .,Hopefully the actors performed .,0.53
2586,A woman is grating carrots.,A woman is coating a pork chop.,0.32
2587,The doctors avoided the actors .,The doctors were avoided by the actors .,0.3
2588,Someone is greasing a pan.,Smeone is laying down.,0.08
2589,Maybe the presidents shouted .,The presidents shouted .,0.53
2590,A field of black faced sheep.,A black faced sheep.,0.5599999999999999
2591,The lawyer mentioned the doctors .,The senators in front of the lawyer mentioned the doctors .,0.26
2592,Bankers called the president .,Angry bankers called the president .,0.78
2593,The managers contacted the athlete .,The athlete contacted the managers .,0.29
2594,Hurricane Sandy Closes in on US East Coast,Hurricane Sandy takes aim at US East Coast,0.96
2595,The judges saw the artists .,The judges saw the artists in front of the secretaries .,0.79
2596,The professors stopped the judge .,The judge in front of the lawyers stopped the professors .,0.29
2597,The artist supported the athlete studied in the library .,The athlete studied in the library .,0.59
2598,"While the lawyer shouted , the bankers recognized the artist .",The bankers recognized the artist .,0.78
2599,"Mandela remembered by family, as stadium memorial service is planned",Mandela's family thanks nation and world for support,0.2
2600,The managers helped in the office recognized the senator .,The managers helped in the office .,0.59
2601,The managers encouraged the doctor .,The managers encouraged the doctor by the scientist .,0.79
2602,The actor that saw the secretaries recommended the professor .,The actor saw the secretaries .,0.65
2603,"Teenage girl killed in east London Shereka Marsh was shot in the neck, police say",Hackney shooting: Teenager Shereka Marsh 'bled to death after being shot in neck',0.9199999999999999
2604,The doctors admired the senator .,"Though the student recommended the scientist , the doctors admired the senator .",0.78
2605,Gray cat looking out the window.,A cat looking out of a window.,0.8
2606,The student called the doctors .,"In case the student called the doctors , the scientists mentioned the authors .",0.45
2607,The doctor admired the secretary .,The secretary admired the doctor .,0.29
2608,The actor resigned .,"After the professors arrived , the actor resigned .",0.78
2609,"An hour later, an Israeli helicopter fired missiles at a car in Gaza City, killing two Hamas officials and at least five other people.","An hour later Israeli attack helicopters rained missiles on a car in Gaza City, killing seven people, Palestinian sources said.",0.85
2610,The secretary supported the lawyers .,"The professor encouraged the president , and the secretary supported the lawyers .",0.62
2611,The actors who admired the senators encouraged the athlete .,The actors encouraged the athlete .,0.79
2612,The banker shouted .,"The doctor believed the student , and the banker shouted .",0.62
2613,The professors knew the artist advised the tourists .,The professors knew the artist .,0.37
2614,The manager contacted the author .,The manager contacted the author behind the professors .,0.79
2615,The secretary and the managers saw the authors .,The secretary saw the authors .,0.68
2616,The tourist was avoided by the senators .,The tourist avoided the senators .,0.3
2617,A man is firing a shot gun.,A man shoots a shotgun.,1.0
2618,The athlete that the scientists stopped advised the tourist .,The athlete advised the tourist .,0.79
2619,A man is cleaning the windows.,A man is driving a car.,0.08
2620,The lawyers contacted the judge .,The judge contacted the lawyers .,0.29
2621,Over 100 dead as typhoon slams central Philippines,At least 100 dead as typhoon batters Philippines,1.0
2622,Stocks to watch at close on Monday,Stocks to watch on Monday,0.8
2623,The scientist remembered that the bankers saw the professors .,The bankers saw the professors .,0.55
2624,The managers mentioned the professor .,The professor mentioned the managers .,0.29
2625,The manager contacted the actor that danced .,The manager contacted the actor .,0.77
2626,Man arrested after police officer shot in Leeds,Navy panel urges ouster of officer who faked death,0.08
2627,The tourist contacted the presidents .,The bankers hoped that the tourist contacted the presidents .,0.43
2628,"""I notice a mood change in their priorities,"" one politician said.","""I notice a mood change in their priorities,"" said one Iraqi politician after meeting with Mr. Bremer.",0.6666000000000001
2629,Train in a station.,Trains inside an indoor station.,0.76
2630,The authors helped in the museum .,The doctor thanked the authors helped in the museum .,0.59
2631,Obama announces creation of twin manufacturing hubs,US stocks retreat on manufacturing data,0.08
2632,A woman is smoking.,A woman is making some food.,0.16
2633,The secretaries supported the manager .,The manager supported the secretaries .,0.29
2634,The scientists were encouraged by the tourists .,The scientists encouraged the tourists .,0.3
2635,Bangladesh building collapse death toll hits 362,Bangladesh building-collapse death toll climbs to 580,0.72
2636,The athletes knew the secretary admired the authors .,The athletes knew the secretary .,0.37
2637,JAL's first order from Airbus is blow to Boeing,Japan Airlines orders 31 Airbus A350s valued at $9.5 bn,0.6
2638,The banker called the artists .,The scientist called the banker that the artists contacted .,0.29
2639,A man is playing guitar.,A cat is playing.,0.08
2640,Six people are seated at a restaurant table and looking into the camera.,A group of people sitting at a restaurant table.,0.6
2641,The secretary mentioned the actor .,The doctor that admired the secretary mentioned the actor .,0.31
2642,The professor arrived .,"If the professor arrived , the scientist slept .",0.45
2643,"After the president called the scientists , the student mentioned the banker .",The student mentioned the banker .,0.78
2644,The athletes danced .,Definitely the athletes danced .,0.88
2645,The athlete resigned .,The senator that recommended the athlete resigned .,0.31
2646,Some is grating onion into water.,A person grates a potato into a bowl.,0.3
2647,The judges and the tourist advised the athletes .,The tourist advised the judges .,0.29
2648,Four men admit London Stock Exchange bomb plot,Four men admit London bombs plot,0.8
2649,The lawyer read the play .,The lawyer read .,0.66
2650,The man is drawing.,A man is drawing.,1.0
2651,The presidents helped the scientists .,The scientists helped the presidents .,0.29
2652,A man in white with a wine bottle and a woman in a red turtleneck with a white vest.,A man and woman posing on a field with a bottle of wine.,0.6
2653,The woman is seasoning the oil.,A woman is pouring ingredients in a bowl.,0.27999999999999997
2654,Eurozone jobless hits fresh record high,EU jobless hits fresh record,0.8800000000000001
2655,The presidents supported the actor .,The lawyers assumed that the presidents supported the actor .,0.43
2656,A yellow shirted man wearing a golden sun mask.,"A man in a yellow shirt wears a gold, sun-shaped mask.",1.0
2657,The Boston Archdiocese has faced waves of scandal that have not only angered victims' advocates but parishioners and some priests.,"The waves of scandal angered not only victims' advocates but parishioners and some priests, to the point that Law could no longer run the archdiocese.",0.6
2658,"Some 50 million phone numbers are registered on the list, which was to take effect Oct. 1.","The FTC signed up 50 million phone numbers for the list, which was due to go into effect October 1.",0.7
2659,The tourists heard the author .,The tourists heard the author stopped the judges .,0.37
2660,A person in a red cap standing next to a brick support beam.,A brown horse is standing on grass and scrub.,0.0
2661,A man is riding on a horse.,A man is talking on a phone.,0.2
2662,The doctors believed the president advised the senator .,The doctors believed the president .,0.37
2663,the plant will be constructed next to an existing plant and is projected to be operational in 7 years. ,the plant will be constructed next to an existing plant also supplied by china and operational since 1999.,0.52
2664,The tourists mentioned the author .,The artists near the author mentioned the tourists .,0.29
2665,Tokyo stocks close down 0.26pc,Tokyo stocks close down 1.53%,0.6
2666,The senator supported the artists that resigned .,The senator supported the artists .,0.77
2667,How is this slanted against Bush??,Where is the slant against Bush?,0.8800000000000001
2668,Ten sheep looking at the camera.,A cat on its back looking at the camera.,0.24
2669,The banker explored .,The banker explored the museum .,0.66
2670,Weak earnings drag US stocks lower in early trade,Weak earnings drag stocks lower on Wall Street,0.76
2671,A plane being readied for take-off.,A small turboprop plane being loaded on the tarmac.,0.6799999999999999
2672,But the cancer society said its study had been misused.,The American Cancer Society and several scientists said the study was flawed in several ways.,0.45
2673,Israel approves release of first group of Palestinian prisoners ahead of peace talks,Syrian opposition confirms participation in peace talks,0.2
2674,The senators mentioned the scientists .,The student by the senators mentioned the scientists .,0.26
2675,The actors hoped that the presidents avoided the secretary .,The presidents avoided the secretary .,0.43
2676,The president and the professor avoided the artists .,The president avoided the artists .,0.68
2677,The banker presented the scientist .,Although the banker presented the scientist recognized the secretaries .,0.23
2678,The judge hid the scientists .,Before the judge hid the scientists slept .,0.23
2679,A man and women sitting on a sofa holding a small baby.,a woman sitting on a sofa holding a baby.,0.64
2680,vietnam has among the world's strictest drug laws. ,vietnam's drug laws are among the world's strictest laws.,1.0
2681,Gunmen Surround Libya's Foreign Ministry To Push Demands,Gunmen surround Libyan foreign ministry to push demands,1.0
2682,The artist was supported by the banker .,The artist supported the banker .,0.3
2683,The author who mentioned the students introduced the lawyer .,The students introduced the author .,0.29
2684,The doctor recommended the student .,The doctor that waited recommended the student .,0.79
2685,Capello quits as England manager,Capello resigns as England manager,1.0
2686,Hezbollah confirms it sent drone downed over Israel,Hezbollah says it sent drone over Israel,0.6799999999999999
2687,The bankers avoided the athlete .,The bankers were avoided by the athlete .,0.3
2688,"Unless the manager contacted the tourist , the lawyer resigned .",The lawyer resigned .,0.42
2689,A man dives off of a cliff.,A man is riding a motorcycle.,0.13340000000000002
2690,The scientists contacted the judge .,The judge that the scientists supported contacted the authors .,0.29
2691,"It seemed like an isolated incident,"" said Ariel Dean of Washington D.C., who earned a degree in political science.","It seemed like an isolated incident,'' said graduate Ariel Dean of Washington, D.C.",0.75
2692,Israeli doctors could be tried abroad for force-feeding Palestinian prisoners,Israel's West Bank control 'costing Palestinian economy billions',0.04
2693,The scientists wrote the play .,The scientists wrote .,0.66
2694,The actors and the secretary mentioned the doctor .,The actors mentioned the doctor .,0.68
2695,A man is riding a bicycle.,A monkey is riding a bike.,0.4
2696,The professors mentioned the banker who the manager believed .,The professors mentioned the banker .,0.77
2697,We are all vessels filled with many wonders.,Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.,0.6
2698,October heating oil futures settled .85 cent lower at 69.89 cents a gallon.,October heating oil ended down 0.41 cent to 70.74 cents a gallon.,0.5
2699,China launches probe and rover to moon,China launches first moon rover mission,0.8
2700,A gray cat is sitting on the window ledge looking at the camera.,The cat is standing on the window sill looking at the camera.,0.8
2701,The judges encouraged the scientist and the authors .,The judges encouraged the scientist .,0.73
2702,The athlete stopped the actors .,The actors stopped the athlete .,0.29
2703,The scientists called the doctors .,"Since the manager resigned , the scientists called the doctors .",0.78
2704,The students saw the lawyers .,"After the doctor encouraged the tourists , the students saw the lawyers .",0.78
2705,Red double decker bus with hood open.,An old Red London double decker bus with its hood raised.,0.8400000000000001
2706,The artists heard the tourist .,The artists heard the tourist believed the banker .,0.37
2707,"Hrithik Roshan, wife Sussanne part ways","Hrithik Roshan, Sussanne to divorce",0.8800000000000001
2708,"Nelson Mandela's real hero was not Gandhi, but Nehru",Nelson Mandela's health 'unstable',0.27999999999999997
2709,the accused will be charged with international drug trafficking. ,"some of the accused will also be charged with money laundering, tax evasion and corruption.",0.32
2710,The banker avoided the professors .,"Before the actors recommended the judges , the banker avoided the professors .",0.78
2711,US releases initial report on fracking impacts on water,Men in China detained after taking girls to hotel,0.0
2712,The professors helped the judge .,The judge and the professors helped the lawyers .,0.29
2713,The lawyer was encouraged by the managers .,The lawyer encouraged the managers .,0.3
2714,A person is driving a car.,A man is driving a car.,0.7
2715,The judge shouted .,"If the professor encouraged the senators , the judge shouted .",0.42
2716,"To reach John A. Dvorak, who covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com.","To reach Brad Cooper, Johnson County municipal reporter, call (816) 234-7724 or send e-mail to bcooper@kcstar.com.",0.2
2717,The doctor supported the president who recommended the authors .,The president supported the the authors .,0.29
2718,Hopefully the president saw the actors .,The president saw the actors .,0.53
2719,The doctor recognized the banker .,"Since the lawyers recommended the president , the doctor recognized the banker .",0.78
2720,Search leader urges caution in findings related to missing Malaysian jetliner,Searchers hoping pings come from lost Malaysian airliner,0.2
2721,The athletes believed the tourist .,The athletes believed the tourist danced .,0.37
2722,"If it's a Bill Gates Comdex keynote, it must be time for new Tablet PCs.","If it's the Sunday night before Comdex, it must be time for yet another Bill Gates keynote.",0.6134000000000001
2723,Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.,"Lay had refused to turn over the papers, asserting his Fifth Amendment right against self-incrimination.",0.76
2724,Two dogs playing by the shore.,Two dogs playing in the snow.,0.5599999999999999
2725,The student helped the senators that supported the bankers .,The senators supported the bankers .,0.65
2726,Famous authors encouraged the students .,Authors encouraged the students .,0.78
2727,Four dead in Indonesia train accident,Five dead as Indonesia train collides with fuel truck,0.6799999999999999
2728,The secretaries and the athlete called the artists .,The secretaries called the artists .,0.68
2729,A person is slicing an onion.,A solenodon is walking along the ground.,0.0
2730,"@Lustig Andrei, Lustig, agreed.","@Lustig Andrei, Thank you, Lustig.",0.44000000000000006
2731,The actor avoided the scientist .,Maybe the actor avoided the scientist .,0.53
2732,The bankers mentioned the actor .,The bankers that recognized the athlete mentioned the actor .,0.79
2733,The professor believed the president .,The president believed the professor .,0.29
2734,"The doctor contacted the professors , or the author encouraged the senator .",The doctor contacted the professors .,0.5
2735,Russia unveils $30 billion oil link to Pacific,Russia unveils $25bn oil link to Pacific,0.6799999999999999
2736,A man played the piano.,A man plays a piano.,0.8
2737,The presidents helped the students .,"Because the author performed , the presidents helped the students .",0.78
2738,India Ink: Image of the Day: May 21,India Ink: Image of the Day: January 16,0.36
2739,The actors believed the doctor .,The doctor was believed by the actors .,1.0
2740,Top Asian News at 2:30 p.m. GMT,Top Asian News 1:25 p.m. GMT,0.2
2741,A woman is adding oil on fishes.,A woman is pouring water on fish.,0.45
2742,The tourists supported the judges .,Probably the tourists supported the judges .,0.53
2743,"Two U.S. soldiers killed in ""insider"" attack in Afghanistan",8 soldiers killed in bomb attack in NW Pakistan,0.16
2744,Pro-life people do not want a woman to be able to choose abortion for herself.,Pro-choice people do not try to force an abortion on anyone.,0.2
2745,Extension likely for Iran nuclear talks,Oil slips below $108 ahead of Iran nuclear talks,0.27999999999999997
2746,Miami Heat wins NBA Finals,Miami Heat clinches NBA Championship,1.0
2747,The author believed the lawyer .,"Unless the author believed the lawyer , the professors slept .",0.45
2748,The students called the banker .,The managers by the students called the banker .,0.26
2749,China trade returns to surplus in March,Tense calm returns to south Tel Aviv,0.0
2750,A woman is attempting to ride a small wave.,A man and woman sitting back to back outside in the sun.,0.0
2751,"The judge resigned , or the scientist helped the banker .",The judge resigned .,0.5
2752,Scenario A assumes that the CO growth rate accelerates by .%/yr.,It assumes that methane growth rate accelerates by .%/yr.,0.35
2753,The artist advised the actors next to the doctors .,The actors advised the artist .,0.29
2754,A woman is slicing an onion.,A man is slicing a tomato.,0.24
2755,The senators resigned .,The manager knew that the senators resigned .,0.55
2756,How would Martin not know that that was not the case?,How would Martin or anyone else know his intentions based on his actions?,0.48
2757,The professors were helped by the lawyer .,The lawyer helped the professors .,1.0
2758,The president remembered that the tourist resigned .,The tourist resigned .,0.55
2759,The scientists called the doctor .,The secretaries learned that the scientists called the doctor .,0.55
2760,Cause of Whitney Houston's death could take weeks,Investigators seek answers to Whitney Houston's death,0.36
2761,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.",0.8400000000000001
2762,The bankers introduced the senators who arrived .,The bankers introduced the senators .,0.77
2763,A kitchendiner with papers laying on the blue clothed dining table.,A small kitchen and a cluttered table with a blue table cloth.,0.6799999999999999
2764,The managers and the artists mentioned the tourist .,The managers mentioned the artists .,0.29
2765,Bryant previously said that hike had a greater impact on demand than officials expected.,Chief financial officer Andy Bryant has said that hike had a greater affect volume than officials expected.,0.7
2766,But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up.,But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,0.8
2767,The defense cannot appeal Roush's ruling until after the trial.,"Defense lawyers cannot appeal the ruling until after trial, in the appellate courts.",0.6799999999999999
2768,The secretary admired the tourists .,The tourists were admired by the secretary .,1.0
2769,I. ATLANTIC REQUIREMENTS .,PACIFIC REQUIREMENTS .,0.16
2770,The bankers introduced the doctors .,The bankers who helped the authors introduced the doctors .,0.79
2771,A girl in orange lights a candle.,A girl in an orange shirt lights candles.,0.8
2772,The professors paid in the laboratory .,The professors paid in the laboratory ran .,0.59
2773,"Taliban pose as 'attractive women, on Facebook for spying",Taliban soldiers posing as pretty women on Facebook to get troops' secrets,0.9199999999999999
2774,Nato troops kill two Afghan children,NATO strike kills 11 Afghan children,0.6
2775,"Philippines typhoon death toll at 4,460: UN","Philippines typhoon death toll rises above 5,000",0.6799999999999999
2776,Some men are playing guitars.,Three men are playing guitars and singing together.,0.64
2777,The judge danced .,"After the judge danced , the professors ran .",0.61
2778,The lawyer encouraged the managers .,The lawyer that danced encouraged the managers .,0.79
2779,The scientist avoided the athletes .,The senator that contacted the scientist avoided the athletes .,0.31
2780,Heavy Fighting Reported in Syria's Aleppo,Heavy fighting reported in Damascus,0.27999999999999997
2781,"The report was found Oct. 23, tucked inside an old three-ring binder not related to the investigation.",The report was found last week tucked inside a training manual that belonged to Hicks.,0.64
2782,The tourist knew the scientist danced .,The tourist knew the scientist .,0.37
2783,"Commodity Expanded Value-Form, .",Elementary Commodity-Capital Value-Form .,0.72
2784,North Korea reportedly test-fires short-range missiles,North Korea launches short-range missiles,0.8
2785,"A nationally board certified teacher with a master's degree, Kelley makes a salary of $65,000 in his 30th year.","A nationally board certified teacher with a master's degree, Kelley, in his 30th year teaching, makes $65,000.",0.95
2786,"The author slept , or the banker avoided the lawyer .",The author slept .,0.5
2787,"If the professors contacted the judges , the scientists performed .",The professors contacted the judges .,0.45
2788,Happy bankers helped the judge .,Bankers helped the judge .,0.78
2789,The secretary contacted the artist .,The secretary contacted the artist that slept .,0.77
2790,Barclays hit by fresh U.S. investigations,Barclays hit by fresh US probe,0.8800000000000001
2791,The senator thanked the athlete .,The athlete thanked the bankers by the senator .,0.29
2792,The mother also alleged in the lawsuit that she was sexually assaulted by one of the guards.,The mother also contended that she was sexually assaulted by one of the guards during the 1998 confrontation.,0.8
2793,One NATO soldier killed in S. Afghanistan,British soldier killed in southern Afghanistan,0.64
2794,Singapore stocks end up 0.37 pct,Singapore stocks close 0.41 pct higher,0.6
2795,"Tech stocks were hurt by a sour forecast from Sun Microsystems, which was viewed as a bad omen for the upcoming quarterly earnings season.",A sour forecast from Sun Microsystems Inc. SUNW.O put more pressure on Wall Street before the quarterly earnings season.,0.6
2796,Singapore stocks close 0.44 pct lower,Singapore stocks close 0.5 pct higher,0.52
2797,A kid is playing guitar.,A boy is playing a guitar.,0.76
2798,A young girl with glasses sits and holds two American flags.,A girl in glasses is looking over two American flags near a wooded area.,0.52
2799,The judges danced .,"The tourist thanked the lawyer , or the judges danced .",0.5
2800,The president called the judge .,The judge by the lawyer called the president .,0.29
2801,The secretary who the athletes avoided thanked the managers .,The managers thanked the athletes .,0.29
2802,The managers contacted the secretary who the doctors advised .,The doctors contacted the managers .,0.29
2803,The artist avoided the tourist .,The tourist was avoided by the artist .,1.0
2804,The senators supported the artist .,"Unless the lawyers stopped the judges , the senators supported the artist .",0.42
2805,Four women and two men sit at a long table in a restaurant.,A group of people sit at a table in an Italian restaurant.,0.6
2806,Venezuela's Hugo Chavez dies of cancer,Hugo Chavez: Venezuelan officials for unity,0.36
2807,Two zebras are playing.,Zebras are socializing.,0.85
2808,"Before the actor avoided the lawyers , the tourists slept .",The actor avoided the lawyers .,0.61
2809,Brown dog splashing into the water.,Four dogs splashing in the water,0.48
2810,All 224 dead in Russian airliner mystery crash,Heat flash detected at time of Russian airliner crash,0.4
2811,The secretary and the president danced .,The president danced .,0.73
2812,Agribusiness: Mad cow disease found in California,USDA Confirms Case of Mad Cow Disease in California,0.8400000000000001
2813,The scientist admired the professor in front of the lawyers .,The scientist admired the professor .,0.79
2814,Turkish search ends as last missing miners found,Turkish Search Ends as Last Missing Miners Found,1.0
2815,A woman serving volleyballs over a net.,One woman hands volleyballs to another woman who serves them.,0.55
2816,Kim Jong-un Executed His 'Worse Than a Dog' Uncle,NKorea executes Kim Jong Un' uncle,0.7
2817,"U.S. and European leaders pledged on Wednesday to work together to keep Iran from developing nuclear weapons, presenting a united front after months of bitter acrimony over Iraq.","Bush said U.S. and European Union leaders, at an annual Washington summit, agreed on the need to keep Iran from developing nuclear weapons.",0.64
2818,A woman riding a brown horse.,A young girl riding a brown horse.,0.76
2819,The senators called the actors who the banker helped .,The banker called the senators .,0.29
2820,"By state law, 911 calls are not public information and were not released.","By law, 911 calls are not public information in Rhode Island.",0.6799999999999999
2821,"9 killed, 168 injured in latest Cairo clashes","10 killed, 12 injured in E. Afghan airport suicide blast",0.24
2822,The artists ran .,"Since the artists ran , the doctors encouraged the senators .",0.61
2823,The secretary advised the tourists and the lawyers .,The secretary advised the lawyers .,0.68
2824,The actors saw the lawyer .,The artists saw the actors who the lawyer introduced .,0.29
2825,The athlete believed the professor recommended the author .,The athlete believed the professor .,0.37
2826,The actors helped the artists .,The artists helped the actors .,0.29
2827,The secretary presented in the office .,The secretary presented in the office recommended the banker .,0.59
2828,"Chera Larkins, 32, of Manhattan, charged with three sham marriages, is also charged with perjury and filing a false instrument.","Chera Larkins, 32, of Manhattan, charged with perjury and filing a false instrument in three marriage applications.",0.9199999999999999
2829,"""The mission of the CAPPS II system has been and always will be aviation security,"" said the administration, part of the Homeland Security Department.","""The mission of the CAPPS II system has been and always will be aviation security,"" they said.",0.72
2830,Suicide Bomber Kills 14 at Afghan Province Council,Suicide Bomber Kills 11 in Afghanistan,0.48
2831,The tourists mentioned the doctor .,The doctor mentioned the tourists .,0.29
2832,A man is walking along a path through wilderness.,A man is peeling an onion.,0.15
2833,The presidents contacted the students .,The students contacted the actor that the presidents supported .,0.29
2834,Red double decker bus.,Red double decker bus with hood up.,0.75
2835,Russian coal mines seek new outlets in China,Russian foreign minister to meet UN chief,0.08
2836,The artists saw the manager .,The artists saw the manager that the secretary recognized .,0.77
2837,"Unless the secretaries stopped the doctor , the students ran .",The students ran .,0.42
2838,The artists next to the athlete arrived .,The athlete arrived .,0.26
2839,"""Jane"" wants me to ask the helpful party guest to pay for it.",I can't believe she is asking YOU to ask the helpful party guest for money!,0.44000000000000006
2840,The banker danced .,Definitely the banker danced .,0.88
2841,A woman sits alone against a brick wall,A woman is walking with a red bag.,0.24
2842,"Russia, China veto UN resolution on Syria killings","Russia, China in double veto of UN Syria resolution",0.76
2843,The managers admired the artists .,The artists were admired by the managers .,1.0
2844,The judge danced .,"In case the professors mentioned the secretaries , the judge danced .",0.78
2845,The artist that supported the judge waited .,The judge waited .,0.31
2846,The author believed that the artists thanked the secretary .,The artists thanked the secretary .,0.43
2847,China stocks open lower on Wednesday,China's stocks close lower on Monday,0.52
2848,The presidents avoided the professors near the senator .,The presidents avoided the professors .,0.79
2849,"The actor believed the bankers , or the lawyers contacted the artist .",The lawyers contacted the artist .,0.5
2850,A man is playing a guitar and singing.,A man is playing a guitar.,0.64
2851,The presidents studied in the laboratory introduced the author .,The presidents studied in the laboratory .,0.59
2852,The people got off the train.,The people got off the train at the station.,0.8
2853,The students who recommended the lawyer performed .,The lawyer performed .,0.31
2854,The student helped the actors and the senators .,The student helped the actors .,0.73
2855,The managers helped in the office .,The managers helped in the office resigned .,0.59
2856,The artists knew the managers slept .,The artists knew the managers .,0.37
2857,Egypt lets Mubarak PM back in presidential race,Egypt confirms Mubarak's PM back in presidency race,0.85
2858,The professor admired the scientists .,"Since the professor admired the scientists , the doctor helped the secretary .",0.61
2859,Five men in tuxedos are walking down steps.,Five men in tuxedos walk down a set of steps,1.0
2860,The scientist supported the secretaries in front of the tourist .,The scientist supported the secretaries .,0.79
2861,A man standing on a boat is pulling another boat close by with a bamboo stick.,a man in a black hat standing in front of a brick wall and a sign,0.0
2862,The athletes ran .,The author who recommended the athletes ran .,0.31
2863,Red double decker bus driving through the streets.,Red double decker bus driving down a street.,0.9199999999999999
2864,The judges advised the athlete .,The athlete in front of the secretary advised the judges .,0.29
2865,The athletes recommended the professor .,The managers encouraged the professor that the athletes recommended .,0.65
2866,A young child slides down an orange slide.,A little boy in denim overalls slides down an orange slide.,0.734
2867,The lawyers believed the doctors .,"The lawyers believed the doctors , or the actor performed .",0.5
2868,"India gang-rape victim ""struggling against the odds""",Indian rape victim dies in Singapore hospital,0.36
2869,The scientists recognized the secretary .,The secretary recognized the scientists .,0.29
2870,8 arrested after deadly Bangladesh building collapse,Workers protest after Bangladesh building collapse,0.44000000000000006
2871,Girl accused of burning Koran goes into hiding,Girl accused of burning Koran bailed,0.64
2872,"Although the artist supported the student , the tourists avoided the presidents .",The artist supported the student .,0.61
2873,The lawyer recognized the judge and the scientist .,The lawyer recognized the scientist .,0.68
2874,The euro has slipped nearly four percent since matching a record peak of around $1.1935 only last week and hitting an all-time high of 140.90 yen in late May.,The euro has slipped as much as four cents since matching a record peak near $1.1935 last week and hitting a record high of 140.90 yen in late May.,0.8666
2875,The managers knew the president advised the tourists .,The managers knew the president .,0.37
2876,The lady cut up a potatoe.,A man is cutting a potato.,0.48
2877,The student thanked the tourists .,The professors thanked the student who the tourists introduced .,0.29
2878,A turtle is walking.,A tortoise is walking.,0.8800000000000001
2879,The banker called the scientists .,The scientists called the banker .,0.29
2880,A group of people sitting around a table with food on it.,A group of people sit around a table with food and beer.,0.8
2881,Vice President Dick Cheney and Mississippi Republican gubernatorial candidate Haley Barbour acknowledge the cheering crowd.,Vice President Dick Cheney says Mississippi Republican Haley Barbour would be a good governor because of his government and business savvy.,0.48
2882,The secretaries introduced the doctors next to the presidents .,The doctors introduced the secretaries .,0.29
2883,Three sheep on a dirt road viewed from a passenger vehicle.,Three sheep in middle of gravel road.,0.6799999999999999
2884,The two dogs are playing fetch in the snow.,Two dogs are playing together in the grass.,0.44000000000000006
2885,"By late afternoon, the Dow Jones industrial average was up 12.81, or 0.1 percent, at 9,331.77, having gained 201 points Monday to its highest level since July 2002.","In morning trading, the Dow Jones industrial average was down 8.76, or 0.1 percent, at 9,310.20, having gained 201 points Monday.",0.25
2886,Macau Gambling Revenue Hits Record $38 bn in 2012,Macau gambling revenue hits record US$38b in 2012,1.0
2887,The doctor introduced the scientists .,"The doctor introduced the scientists , or the professors contacted the lawyers .",0.5
2888,The student stopped the authors .,"Though the student stopped the authors , the actors recognized the banker .",0.61
2889,The managers encouraged the lawyers next to the senator .,The managers encouraged the lawyers .,0.79
2890,The actors encouraged the scientists .,The actors encouraged the tourists and the scientists .,0.68
2891,The bankers that recognized the lawyer contacted the senators .,The lawyer contacted the senators .,0.31
2892,The actors by the presidents called the artist .,The presidents called the actors .,0.29
2893,A white animal running through snow covered woods.,A white dog runs through a snow covered wood.,0.6799999999999999
2894,"Authorities in Ohio, Indiana and Michigan have searched for the bodies.","So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.",0.5599999999999999
2895,"Before the judges contacted the authors , the doctors recommended the secretaries .",The doctors recommended the secretaries .,0.78
2896,People ride and paddle a raft.,Four people are floating on a raft.,0.45
